APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,6111,36,0,1,V3V7Y5,1,0,4192.6075,2109.2975,17354.2925,,2394.879167,93142.515,0,0,7.75,0.083333333,3.416666667,2.416666667,0,0,5.2,-1,-5,C,1040,300,1174,21073.07692,2434.285714
Y,6129,29,1,0,V5P3B4,1,0,2355.476667,1617.933333,19770.33667,,3595.96,,0,0,4,0.333333333,5,0,0,0.25,4.3,0,1,D,1010,460,1639,23400,2654.411765
N,6141,45,1,0,V6R2Y8,1,1,243.0725,6884.115,8374.835833,,,,0,0,0.583333333,0.916666667,0,0.083333333,0,0,2.8,1,-1,D,580,280,1799,44860.34483,6292.105263
N,6146,24,0,1,V3B7S1,1,1,480.8425,529.4225,7611.4825,4643.305,,,0,0,6.25,15.33333333,6.25,0.333333333,0,0,5.7,-1,0,D,900,400,1804,31255.55556,4391.549296
Y,6149,47,0,1,V7L1C8,1,1,1901.678333,,1973.078333,,,,0,0,0.416666667,4.083333333,35.5,3.583333333,9.583333333,0,2,0,0,D,760,,,29457.89474,2344.827586
N,6152,44,1,0,V3X1N3,1,1,1204.9175,,1214.2175,,0,118826.26,1,0,1.5,4.333333333,14.91666667,0.666666667,0,0,3.9,1,1,B,850,230,962,23903.52941,2312.5
N,6158,41,1,0,V3C2A3,1,1,351.3666667,2.14,420.0091667,,,,0,0,1.5,1.166666667,1.416666667,0,0,0,3,0,0,E,680,240,813,29632.35294,2041.935484
N,6159,69,1,0,V3N4N1,0,0,1958.591667,,197050.8017,,,,0,0,1.083333333,0,0,0.083333333,0,0,4.3,-1,-5,C,840,,,27284.52381,2328.26087
N,6164,51,0,1,V7C4G7,0,0,6,16837.39917,17085.57667,,,,0,0,1,0,0,0,0,0,3,0,0,D,880,410,1937,30236.36364,2950
Y,6170,33,0,1,V3H3K1,1,0,315.5375,1140.5375,18618.745,,0,80350.86571,1,1,0.416666667,0.166666667,0,0,0,0,4.4,2,3,E,800,330,1334,32223.75,1606.896552
