APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
N,7,36,1,0,V4P3E7,0,0,0,,402.3883333,,227095.2733,111155.77,0,0,6.083333333,0,0,11.75,0.333333333,0,3,0,0,A,680,320,2182,44333.82353,6089.473684
Y,9,30,1,0,V5Z2X3,0,0,,1343.2575,3706.03,,,,0,0,0.25,0,0,0,0,0,3,0,0,D,630,320,1653,35792.06349,3770.588235
Y,12,39,0,1,V7L4X2,1,0,637.0083333,1340.199167,2098.8875,,1311.61,,0,0,0.583333333,5.416666667,6.916666667,3.833333333,0,0,4,0,0,D,800,,,31752.5,2113.043478
Y,14,40,0,1,V3K5N2,1,0,248.3758333,,299.4408333,,7627.116667,,0,0,2.333333333,5.083333333,0,0.5,0,0,3,0,1,D,670,310,1367,32479.10448,3218.918919
Y,25,50,1,0,V3N2J9,0,0,4222.6625,,4298.2275,,,,0,0,2.833333333,0,0,1.916666667,0,0,2,0,0,D,960,,,23006.25,1621.621622
N,28,59,0,1,V5E3H2,1,0,38.92,,544.61,,,,0,0,2,4,0,0,0,0,3,,,,730,,,21506.84931,2787.096774
Y,29,36,1,0,V5G4B6,1,1,344.775,,404.5641667,11149.15583,,,0,0,1.75,23.5,8.833333333,6,0,0,3,0,-1,D,820,410,1867,37417.07317,1836.363636
N,32,37,0,1,V5P4B5,1,0,0.294166667,,11.76166667,,26088.07417,185341.53,0,0,2.333333333,0,0,3.416666667,0,0,3.9,1,0,C,850,370,1828,25721.17647,3316.41791
N,40,51,0,1,V3T5H6,1,0,4899.188333,,5025.448333,959.7966667,3023.868333,190930.82,0,0,1.916666667,3.5,7.583333333,4.25,7.333333333,0,3.1,-1,-2,A,680,290,914,26948.52941,2704.347826
Y,50,57,1,0,V6R1H1,1,1,6551.754167,0,25777.775,,,,0,0,1.583333333,0.666666667,0,1.916666667,0,0,4,0,1,D,480,240,1754,46183.33333,9215.151515
N,51,58,0,1,V6R1H1,1,0,2657.053333,12,45863.7825,,,13218.865,0,0,9.916666667,0.083333333,0,3,1.166666667,0.083333333,5,0,0,C,480,240,1754,46183.33333,9215.151515
Y,62,23,0,1,V5A4B7,1,1,939.92,300.76125,1191.1175,8720.403333,,,0,0,15.5,1.833333333,39.33333333,1.416666667,1.75,0,3.6,1,2,D,920,380,1509,32379.34783,1550
Y,64,54,1,0,V3W6E3,1,0,,759.2958333,815.3533333,,,,0,0,2,2.583333333,12.08333333,0,0,0,2,0,0,D,880,260,762,23784.09091,1320
N,65,69,0,1,V6P1W9,1,0,89485.27333,0,649947.005,,6186.895833,,0,0,19.33333333,0,0,15.5,0,0,7,0,-1,C,580,150,1256,41937.93103,8627.586207
Y,82,40,0,1,V5V1J5,1,1,1708.08,,1771.47,13925.79333,,,0,0,1.583333333,22.75,45.41666667,1.5,0,0,3,0,0,C,790,370,1398,28436.70886,2781.395349
Y,84,39,0,1,V3J1B7,1,1,528.6883333,,1065.8825,24439.56,,,0,0,1.833333333,3.583333333,14.16666667,3.833333333,0.25,0,2.5,0,-2,D,760,350,1535,32076.31579,2112.121212
N,85,38,1,0,V3B6E7,1,1,268.6883333,195.1566667,1285.765,7763.1075,,,0,0,6.25,8.5,41.5,0.75,15.41666667,0,4.7,-1,-2,D,900,330,1140,28360,1087.878788
Y,88,46,1,0,V5K2J4,1,0,1052.0875,,206104.015,,706.1858333,,0,0,1.666666667,5.666666667,1.583333333,7.5,0,0,4,0,0,D,1040,440,1702,24507.69231,2857.352941
Y,92,33,0,1,V5W4B5,1,0,388.377,3293.154167,3668.174167,,,,0,0,4.25,5.583333333,10.66666667,0.083333333,0,0,3,0,1,D,11090,,,67859.60325,15139.31145
Y,94,29,1,0,V3S7K7,1,1,1574.215,0,6250.793333,,12637.17333,,0,0,2.5,1.583333333,17.66666667,1.833333333,3.5,0,4.1,-2,-7,C,1330,520,2624,32206.01504,3030.357143
N,96,30,0,1,V1M2P7,1,0,487.5466667,,542.1191667,,2765.903333,333892.377,0,1,1.166666667,1,0.166666667,0.416666667,0,0,4,0,1,D,13750,5740,27944,37751.63636,3879.678363
N,100,26,1,0,V5N2G8,1,0,5363.630833,180.8366667,6661.2775,,,,0,0,1.5,5.75,9.5,1.333333333,0,0,3.4,-1,-1,D,880,320,1200,24770.45455,2147.619048
N,108,35,0,1,V3L3N2,1,1,5450.218333,0.22,9814.025,,0,158177.6725,0,0,0.583333333,1.083333333,3.333333333,1.083333333,0.666666667,0,6,0,0,B,800,,,31351.25,2762.857143
N,121,41,0,1,V5P1P3,0,0,524.545,303.3975,1014.27,,,132070.1258,0,0,3.416666667,0,0,1.666666667,0,0,4,0,0,C,1010,460,1763,22211.88119,3359.493671
Y,130,55,1,0,V3R7S1,1,0,431.9775,0,640.1758333,,3626.9975,60247.62167,0,0,1.166666667,4.5,19.58333333,3.666666667,0,0,5,0,-1,C,1110,290,1130,27208.10811,1151.851852
N,136,62,0,1,V6S1X6,0,0,130.0941667,6.09,23674.09417,,0.291666667,,0,0,0.083333333,0,0,0,0,0,5,0,1,E,590,270,1812,51394.91525,6137.777778
Y,138,62,0,1,V5P1B5,1,0,5037.675,26.91,5214.3525,,,,0,0,1.25,0,0,1.5,0,0,3,0,0,D,970,400,1508,24170.10309,2831.818182
Y,141,60,0,1,V5J3R2,1,1,742.9966667,,878.1666667,,0,,0,0,3.75,0,0,0,0,0,3,0,0,E,690,260,1421,27739.13044,3564.705882
Y,143,47,0,1,V4K1P2,1,0,3663.078333,,3757.100833,,,,0,0,3.5,0.25,0,7.416666667,0,0.166666667,2,0,0,D,740,330,1250,32916.21622,2538.888889
N,149,34,0,1,V5P1W9,1,0,0,0,68.365,,4318.33,,0,0,4.416666667,9.25,2,0.25,0,0,4,0,0,D,850,370,1828,25721.17647,3316.41791
N,152,51,0,1,V5S3K1,0,0,10.97,881.4358333,1082.205,,,,0,0,0.166666667,0,0,0,0,0,2,0,-1,D,560,240,1106,30014.28571,5877.5
N,161,30,1,0,V5P1E3,1,0,3.43,0,74.67,,,,0,0,0.333333333,0,0,0,0,0,3,0,0,E,970,400,1508,24170.10309,2831.818182
N,167,49,1,0,V5X1L8,0,0,19580.55667,10.27,144365.85,,,,0,0,4.916666667,0,0,0,0,0,4,0,-3,C,740,290,1163,24760.81081,2363.636364
N,179,61,1,0,V5K1G2,0,1,5638.083333,551.1008333,40857.2175,,,,0,0,7.833333333,0,0,0,0,0,4,0,0,D,820,360,1436,25797.56098,2780.392157
Y,181,60,0,1,V5G2V9,0,0,0.825,39920.8,40095.5625,,,,0,0,1.25,0,0,0,0,0,3,0,0,C,770,350,1565,28345.45455,3008.928571
Y,191,60,0,1,V5R1K9,1,0,0,9755.756667,22904.94,,86170.90667,,0,0,4.333333333,0,0.916666667,1.416666667,3.583333333,0,5,0,2,A,780,350,1362,24224.35897,4218.644068
N,200,67,0,1,V5A4E6,0,0,2783.1925,,2850.9675,,0,,0,0,1.166666667,0,0,1.416666667,0,0,3,0,0,D,160,80,436,37337.5,3792.857143
N,208,57,0,1,V5C3P3,0,0,334.2108333,,1002.454167,,83.27416667,,0,0,0.416666667,0,0,0,0.083333333,0,3.2,-1,-1,D,330,150,675,34600,5896.428571
Y,209,44,1,0,V3W5N3,1,1,8432.648333,138.735,8655.338333,,,,0,0,0.416666667,0.166666667,2.666666667,0,0.25,0,3,0,0,D,630,200,728,23066.66667,1780.952381
Y,210,63,0,1,V5A4C1,1,0,1451.690833,,101990.835,,,,0,0,0.166666667,0,0,0,0,0,3,0,-1,C,180,80,502,39950,5081.25
N,212,49,0,1,V5L2V4,0,1,2034.124167,,52464.76333,,,,0,0,10.83333333,0,0,1.583333333,0,0,3,0,0,C,760,330,1419,28700,3064.864865
N,213,47,1,0,V5M1E2,1,1,1479.625833,1797.978333,44976.60333,,108.9388889,,0,0,7.75,3.583333333,0.166666667,3.416666667,6.333333333,0,4.7,-1,4,D,790,360,1443,25839.24051,3603.846154
Y,220,20,0,1,V5K1E3,1,0,47.04916667,431.0516667,479.2025,,,,0,0,4.333333333,9.333333333,31.25,0,4.75,0,3,0,0,E,580,270,1286,32232.75862,4041.176471
N,221,52,1,0,V6X1B2,1,0,,297.7725,363.48,,,,0,0,0.333333333,0.833333333,0.416666667,0,0,0,2,0,0,E,100,40,189,29470,10214.28571
Y,228,36,0,1,V5B2K5,1,1,10060.68083,0,10271.85833,,0,,0,0,0.416666667,2.083333333,13.75,4.25,1,0,4,0,0,D,690,330,1679,34926.08696,4650
Y,237,32,1,0,V6L1W2,1,1,0,0.02,61.0375,,3476.8075,,0,0,0.583333333,4.333333333,19.75,1.666666667,4.666666667,0,4,0,0,D,560,270,1895,52989.28571,7940.384615
Y,242,58,0,1,V6L3H1,1,0,3930.109167,87.52916667,4565.790833,,1744.7325,527322.3392,0,0,1.083333333,0.333333333,0,0.833333333,0,0,5,0,0,A,590,250,1299,28871.18644,7327.419355
N,245,69,0,1,V5L3C9,0,0,3443.503333,,3577.323333,,,,0,0,2.75,0,0,0.5,0,0,2,0,0,D,620,160,0,21466.12903,1659.090909
N,247,51,0,1,V6A4J4,1,0,627.115,48.7,4509.1075,,,,0,0,2,1.833333333,1.416666667,0.5,0.916666667,0,3.2,1,0,D,260,70,257,18223.07692,5437.5
Y,249,37,1,0,V3M3Y1,1,0,1776.343333,,3279.62,,,,0,0,0.166666667,0.75,1.083333333,1.5,0,0,3,0,1,D,580,150,519,30281.03448,2990.909091
Y,269,34,0,1,V6K3W8,1,0,8940.1025,189.8691667,8226.975833,,,,0,0,1.083333333,0.666666667,0.583333333,1,0,0,2.6,2,3,E,660,300,1645,40333.33333,4476.31579
N,289,69,1,0,V5B1J8,0,0,21715.14333,2719.996667,49140.5475,,,,0,0,6.75,0,0,12.75,0,0,4,0,1,C,630,280,1928,40936.50794,6027.659575
Y,302,28,1,0,V5C2S2,1,1,1860.285833,1447.9,3335.925833,12239.659,,,0,0,1.25,4.833333333,33.58333333,1.25,1.083333333,0,4,0,1,D,780,380,1625,26980.76923,3172.413793
N,304,30,0,1,V4C7P9,1,1,2142.589167,0,2223.479167,,4749.545833,,0,0,1.833333333,7.166666667,30,3.166666667,3.5,0,4,0,-1,D,660,270,1033,32840.90909,2582.142857
Y,306,24,0,1,V5B3K2,1,0,9307.941667,1138.908333,10505.4125,,0,,0,0,2.083333333,8.5,7.25,0.833333333,0,0,4,0,0,D,1000,450,1978,31652,3445
Y,308,24,1,0,V5C5C8,1,0,,4874.113333,11034.31333,,,,0,0,3.333333333,5.333333333,9.333333333,0,0,0,3,,,,290,120,439,27362.06897,2733.333333
N,313,27,1,0,V3R9J4,1,1,5863.693333,676.6833333,6591.089167,,3164.41,,1,0,2.583333333,4.916666667,10.83333333,0.333333333,0,0,3.3,1,2,E,1030,140,599,29512.62136,3050.943396
N,317,53,0,1,V5C2X5,1,1,908.235,,3338.346667,,1870.005833,,0,0,11.66666667,0,0,1.916666667,0,0,3.5,-1,-1,D,970,480,2236,27364.94845,3107.594937
Y,320,24,0,1,V5A1B8,1,0,5667.226667,,48555.86167,,,165030.485,0,0,5.916666667,13.08333333,51.5,1.166666667,6.833333333,0,4,0,0,C,640,330,1625,34203.125,7168.627451
N,326,55,0,1,V5B2E8,1,1,3269.955833,128.29,28525.55583,,38.08,,0,0,7.416666667,0.333333333,37.25,12.08333333,0,0,4.4,-1,-1,C,550,250,1098,29221.81818,4304.255319
N,340,68,0,1,V5A1G7,0,0,4702.179167,620.8516667,20659.51333,,2837.205833,47622.8825,0,0,9.083333333,0,0,2.916666667,0,0,6,0,0,C,640,330,1625,34203.125,7168.627451
N,349,45,0,1,V5X1N6,0,0,76.98166667,,120.3041667,,58.02916667,,0,0,0.166666667,0,0,0.083333333,0,0,3,0,0,D,1150,290,1194,22453.04348,3550.847458
Y,353,48,0,1,V5X2L3,1,0,71.1025,4.45,193.0316667,,23448.77167,,0,0,1.416666667,0,0,0.333333333,0,0,3.5,-1,-2,C,530,330,1195,20649.0566,1890.909091
Y,356,66,0,1,V5W2M9,1,0,0,,314.4558333,1800.17,1518.725,166010.7267,0,0,2.25,0.666666667,0.833333333,0,0,0,4.3,-1,-3,A,950,340,1528,25718.94737,3576.190476
Y,358,65,0,1,V5W3N5,0,1,9210.856667,1787.81,31386.56083,,0,,0,0,7.333333333,0,0,1.5,0,0,5,0,1,D,1240,310,1197,31237.09677,7011.111111
N,360,27,0,1,V5S1G2,1,0,4549.695,52.8025,4647.7875,8441.3475,,,0,0,1.833333333,0.166666667,0,0.333333333,1.083333333,0,3.3,1,0,D,600,300,1353,27090,3258.823529
N,362,68,0,1,V5X1K1,0,0,13136.48333,,180191.6333,,,,0,0,1.333333333,0,0,0,0,0,4.6,-1,-1,A,740,290,1163,24760.81081,2363.636364
Y,370,50,1,0,V5X2G8,1,1,8421.271667,,11813.25167,,,,0,0,1,5.916666667,1.416666667,2.5,1.833333333,0,2.3,1,1,D,1040,330,1575,19600.96154,1466.666667
N,376,21,0,1,V5W1Z7,0,1,12.03833333,198.8175,225.9558333,,,,0,0,5.666666667,0,0,0,0,0,3,0,0,E,950,340,1528,25718.94737,3576.190476
Y,379,31,1,0,V3N4S6,1,1,2547.779167,,2611.999167,,14.56583333,,0,0,0.333333333,4.416666667,4.083333333,1.416666667,1.916666667,0,3,0,0,D,690,,,30360.86957,1720.512821
N,385,47,0,1,V6X1M3,1,1,798.165,0,932.1025,,23603.50333,,0,0,0.75,9.416666667,14.66666667,11.41666667,9.583333333,0,4,0,1,C,1050,440,1877,25471.42857,2905.970149
Y,389,44,1,0,V5L2R5,0,0,0,,97.835,,,,0,0,0,0,0,0,0,0,2,0,0,E,730,320,1359,29589.0411,2903.703704
N,430,55,1,0,V5V3S7,1,1,2191.794167,1342.075833,5016.465833,,134.0125,,0,0,3.75,5,10.58333333,6.75,0.666666667,0,4.7,-1,0,D,640,290,1353,32156.25,2673.529412
Y,439,63,0,1,V6C3N7,1,0,0,0.003333333,4674.810833,2182.056667,17164.49167,,0,0,1.583333333,9.416666667,0.583333333,0,0,0,4.9,-2,-2,C,260,120,1086,49138.46154,17545.16129
Y,440,37,0,1,V6C3N7,0,0,,0.003333333,2803.4275,1348.963333,,,0,0,0.166666667,0,0,0,0,0,2.9,-2,-2,D,260,120,1086,49138.46154,17545.16129
N,445,45,1,0,V5W3K5,1,1,4048.366667,,4268.614167,,0,,0,0,1.25,4.75,4.5,3,6.916666667,0,3,0,0,D,920,340,1544,25502.17391,2600
N,448,50,0,1,V5L3N5,1,0,,56.20916667,118.3341667,,,,0,0,0.083333333,0.166666667,0.166666667,0,0,0,2,0,0,E,730,320,1359,29589.0411,2903.703704
Y,454,54,0,1,V7V2A9,1,0,1376.550833,,1473.480833,,3243.278333,,0,0,2.25,3.833333333,0,6.166666667,0,0,3,0,0,D,400,130,976,49555,9076.31579
N,456,53,0,1,V6K2J1,0,0,3512.083333,1075.899167,13895.21333,,43176.84167,,0,0,0.416666667,0,0,0.25,0.5,0,5,0,-1,B,620,350,1944,41330.64516,3897.368421
N,469,43,0,1,V3N4W1,1,0,67.90833333,59.72666667,181.6325,,191.4891667,,0,0,0.333333333,0.083333333,0,0.416666667,0.833333333,0,4,0,0,E,960,,,37429.16667,4514.492754
Y,475,21,0,1,V3W6H6,1,0,281.1766667,1314.79,2130.581667,,85.9075,,0,0,0.5,6.333333333,29,0.333333333,0,0,5,0,0,D,800,270,927,25042.5,1760.714286
N,484,60,1,0,V5S3E9,1,0,8328.140833,,8438.268333,,,,0,0,0.916666667,0.5,0.583333333,0.833333333,1.333333333,0,2,0,0,D,600,300,1353,27090,3258.823529
Y,487,33,1,0,V5G1E2,0,0,,35464.51083,38881.98167,,,,0,0,0.166666667,0,0,0,0,0,2.4,1,1,C,500,200,730,25030,2608
N,497,38,0,1,V6X1L4,1,0,119.8858333,,2702.979167,,,,0,0,5.5,2.083333333,4.833333333,0,0,0,3,0,1,E,1060,380,1569,24334.90566,2126.923077
N,499,29,1,0,V6J2C5,1,0,377.6091667,805.0925,1332.491667,,,,0,0,0.583333333,2.833333333,1.5,2.083333333,5.166666667,0,3.1,-1,-1,D,630,340,1920,42731.74603,3911.764706
N,518,58,1,0,V6P2H5,0,0,40.79,1461.11,2634.0925,,,,0,0,0.083333333,0,0,0,0,0,4,0,0,D,620,290,1608,40666.12903,7721.428571
N,520,31,0,1,V6P4M1,1,0,1040.395,6.39,1107.02,,,,0,0,1,0.916666667,3.833333333,0.5,1,0,3,0,-1,D,920,390,1289,27444.56522,3439.68254
Y,530,30,0,1,V6M1N7,1,0,,347.9941667,412.9016667,,,,0,0,0.083333333,6.333333333,9.5,0,2.75,0,2,0,0,D,350,290,1827,33928.57143,9312.195122
N,532,20,1,0,V6N2Z4,0,0,,185.8975,1746.333333,,,,0,0,2.166666667,0,0,0,0,0,3,0,0,D,620,290,2005,38408.06452,8750.847458
N,537,62,0,1,V8W2P3,1,0,0,0,54.935,,2942.201667,,0,0,0.333333333,2.416666667,6.916666667,0,0,0.083333333,4,0,-1,D,3310,,,38241.38973,13898.74477
Y,544,30,1,0,V3K1X1,1,1,8886.686667,4.29,28587.68167,,,,0,0,1,0.5,0,1.916666667,0,0,4,0,2,D,670,310,1367,32479.10448,3218.918919
Y,545,25,1,0,V3K6B6,1,1,5371.109167,,35377.975,,,,0,0,1.583333333,5.166666667,0,0.75,0,0,3,0,0,D,520,260,1758,40769.23077,3268.75
N,565,68,0,1,V3N4R6,1,0,1257.964167,,1309.336667,,,,0,0,3.833333333,1.833333333,11.91666667,1.25,0,0,2,0,0,D,690,,,30360.86957,1720.512821
Y,580,59,0,1,V5J2Z2,1,1,2211.736667,0.01,2342.791667,,84.34083333,115731.3733,0,0,0.25,4.083333333,17.33333333,3.583333333,3.583333333,0,5,0,0,C,260,120,691,33523.07692,3685
Y,582,55,0,1,V3M5J8,0,0,47.16,360.4483333,447.0466667,30980.214,963,,0,0,6,0,0,0.166666667,5.333333333,0,3.6,-2,-5,C,290,100,347,22944.82759,1555.555556
N,590,44,1,0,V5E3J2,0,0,5810.685833,999.0608333,69063.86333,,,,0,0,0.083333333,0,0,0.416666667,0,0,4,0,0,C,860,,,27682.55814,2786.538462
Y,591,50,0,1,V5J2H8,0,0,502.8033333,1726.345,20447.64333,,0,,0,0,1.25,0,0,0,0,0,5,0,0,D,490,170,763,23167.34694,3014.285714
N,596,29,1,0,V3C4K7,1,0,449.7308333,24.1575,531.4708333,,,,0,0,0.666666667,0.416666667,0,0,0,0,3,0,0,D,700,300,1412,36565.71429,2550
Y,600,41,0,1,V2X0X8,1,0,4.441666667,0,8.881666667,,64.875,,0,0,21.41666667,0.583333333,0,0.083333333,0,0,4,0,0,E,1410,,,35390.78014,2426.5625
Y,605,57,0,1,V3B5N7,0,0,0,57.19416667,552.8366667,,11674.55333,11735.3725,1,0,1.333333333,0,0,0,0,0,3.6,2,2,D,610,240,866,29529.5082,2659.259259
Y,608,38,1,0,V3B7W2,1,1,1313.819167,2158.9725,3674.779167,,4123.033333,131962.3392,0,0,0.583333333,9,62.58333333,1.833333333,9,0,5,0,0,C,550,200,778,26761.81818,2303.448276
Y,616,26,1,0,V4C2W4,1,0,916.8241667,2530.235,3461.721667,,,,0,0,0.75,6.583333333,8.416666667,0.583333333,0,0,3,0,0,D,610,260,1106,34457.37705,1540
Y,620,42,0,1,V3S3M6,1,1,189.5408333,42.6225,275.6083333,,341.1583333,,0,0,0,0.083333333,1.333333333,0.083333333,1.416666667,0,4,0,0,D,950,330,1273,25387.36842,2512.820513
N,623,56,1,0,V3S8X5,1,1,6992.665833,2349.991667,37880.45667,,615.0733333,61037.79167,0,0,2,9.083333333,16.16666667,4.583333333,1.416666667,0,6,0,-1,C,560,260,1171,36414.28571,3888.888889
Y,625,24,0,1,V5G4G6,1,0,1677.451667,2177.831667,1991.601667,,,,0,0,0,1,0,0,0.083333333,0,2,0,0,D,820,410,1867,37417.07317,1836.363636
N,635,49,0,1,V3J4V2,1,0,0,0,65.4275,,846.3633333,,0,0,0,2.666666667,1.333333333,0,0,0,4,0,0,D,650,280,1340,33107.69231,3371.428571
Y,638,52,0,1,V7P1X8,1,0,1503.713333,576.965,24070.25667,18479.33727,123.6641667,,0,0,3.833333333,0.916666667,0.25,2.416666667,3.333333333,0,6,0,2,D,690,290,1479,27040.57971,4897.297297
N,640,49,0,1,V7N1V7,1,0,0,180.1891667,248.2391667,,16969.37917,,0,0,1.75,0,0,0,0,0,4,0,0,C,740,230,1388,41071.62162,5356.603774
N,642,50,0,1,V4C3H4,1,1,5549.969167,,5650.274167,,0,,0,0,0.166666667,5.666666667,2.416666667,6.166666667,9.083333333,0,3,0,0,D,940,380,1561,30128.7234,1655.555556
Y,644,41,1,0,V5K3L7,1,0,2559.806667,738.7291667,3438.343333,,16.2075,,0,0,22.5,1.75,6.75,1.75,0,0,4,0,0,D,580,270,1286,32232.75862,4041.176471
N,651,29,0,1,V6K2C2,1,0,101.7066667,0.14,160.585,,,,0,0,1,2.5,2.666666667,0,0.333333333,0,3,0,1,E,680,360,2060,40660.29412,5648.717949
N,656,49,0,1,V6R2W9,1,0,4624.645,626.3916667,10485.51917,,0,,0,0,1.583333333,2.5,5,3.25,1,0,5,0,0,D,570,260,1621,48482.45614,5173.809524
N,669,66,1,0,V3C6G6,1,0,949.9816667,1007.650833,2019.5225,,0,,0,0,2.666666667,6.25,14.75,3.583333333,0,0,4,0,0,D,1100,430,1609,30703.63636,1642.105263
Y,671,41,0,1,V5C4G7,1,1,2081.149167,0,2382.764167,,1044.831667,,0,0,0.25,3.75,0.25,4.666666667,8.666666667,0,4,0,0,D,1920,,,44488.54167,8868.932039
Y,675,45,1,0,,1,1,1447.771667,29.74,1539.794167,,,,0,0,1.333333333,1,3,2.583333333,3.333333333,0,3,0,0,D,,,,,
Y,676,43,0,1,V3R7Y6,1,0,0,0.04,71.9,,5014.355833,,0,0,2.583333333,0,0,0.166666667,0,0,4,0,0,D,740,260,823,27609.45946,1971.428571
Y,682,26,1,0,V5W3J5,1,0,3288.071667,615.09,3959.226667,,,,0,0,1.25,0.666666667,4.166666667,0.083333333,0,0,3,0,0,D,580,260,1000,23312.06897,3367.5
N,684,48,0,1,V3J2C1,0,0,0,0,112.05,,39151.58833,147158.2675,0,0,3.083333333,0,0,0.166666667,0,0,5,0,0,A,730,300,1324,30658.90411,3582.352941
Y,685,45,0,1,V3C5N2,1,1,109.9575,8646.908333,10154.385,2608.775,12207.19417,156279.4658,0,0,5.583333333,7.916666667,8.333333333,4.583333333,8.5,0,5,0,-2,B,1030,460,2221,39440.7767,3367.241379
N,692,68,0,1,V3B6V6,1,0,150.2833333,,244.2058333,,,,0,0,3.916666667,3.333333333,9.333333333,0.5,0,0.5,2,0,0,E,890,410,2031,35111.23596,2330.769231
Y,695,53,0,1,,1,0,92.6225,2781.778333,3041.768333,,465.045,146477.5625,0,0,1.333333333,1.916666667,1.833333333,1.833333333,0,0,5,0,0,B,,,,,
N,696,58,1,0,V5N5T5,1,0,65.85333333,185.2666667,344.4033333,,138.7725,,0,0,3.083333333,1.666666667,0.916666667,0,0,0,4,0,0,E,11090,,,67859.60325,15139.31145
N,699,41,0,1,V2C4N9,1,1,6513.4375,3.2,7079.8975,,0,56621.2225,0,0,0.083333333,3.75,0.416666667,6.333333333,0,0,5,0,0,C,320,130,459,25228.125,3417.391304
Y,700,54,1,0,V7C4Z8,1,1,4920.636667,55.65,24275.63083,,,,0,0,2.333333333,0,3.333333333,0.666666667,0,0,4,0,-1,D,550,270,1182,33270.90909,3641.463415
N,705,52,1,0,V6R2E1,1,1,1702.94,,2253.6225,,,,0,0,2.583333333,3.583333333,11.5,2.166666667,3.833333333,0,2.3,0,0,D,480,220,1434,56047.91667,7971.794872
N,707,56,0,1,V6R2M7,1,1,12562.69833,0,12682.605,,0,93998.205,0,0,0.666666667,0,0,3.916666667,0.083333333,0,4.3,-1,-5,B,480,220,1434,56047.91667,7971.794872
N,716,51,0,1,V5V3T4,1,0,12.13166667,0,4048.543333,,,84928.23833,0,0,8.333333333,0,0,0,0,0,4.6,-1,-5,B,640,270,1158,24410.9375,2431.25
Y,721,58,0,1,V4C7S1,1,1,1922.716667,2340.365,5457.285833,,0,,0,0,2.25,3.666666667,18,1.166666667,11.66666667,0,4,0,1,D,850,390,2318,38031.76471,2485.714286
Y,723,41,1,0,V5R5R1,1,0,388.4008333,,450.3608333,13854.66583,,,0,0,0.666666667,3.166666667,1.833333333,0,0,0,3,0,0,C,790,330,1212,24694.93671,1959.52381
Y,736,50,1,0,V7S1H1,1,1,5231.194167,10,7336.340833,,,,0,0,2.75,1.416666667,13.16666667,4.083333333,0,0.083333333,3.9,0,0,D,300,120,724,53750,11525.80645
Y,737,36,0,1,V3W1G4,0,0,,6.7925,93.58,,,,0,0,0.166666667,0,0,0,0,0,2,0,-2,E,1710,450,1711,22180.11696,978.7234043
N,740,23,0,1,V6K2P6,1,0,41.91583333,141.5116667,199.8175,,,,0,0,1.75,3.583333333,6.416666667,0,0,0,3,0,0,E,610,300,1710,43504.91803,4786.111111
Y,745,43,1,0,V3L3T9,1,1,1980.388333,1364.224167,3532.0025,,43.48416667,158691.5133,0,0,1.416666667,11.16666667,18.83333333,2.166666667,3.75,0,4.1,-1,-2,B,800,,,30980,2505.714286
N,761,36,0,1,V6M4E7,1,0,2714.941667,,2899.781667,,,,0,0,3.5,0.25,0.416666667,5.083333333,0,0,2,0,0,D,620,220,1197,41206.45161,5676
Y,770,42,0,1,V3B6L1,1,1,8574.874167,25.4,8675.781667,,892.6891667,,0,0,1.5,3,16.33333333,4,1.833333333,0,4,0,0,D,770,330,1336,36337.66234,1525
N,776,39,1,0,V2V3N2,1,1,542.4091667,0,604.4208333,,,,0,0,3.833333333,16.66666667,23.91666667,0.666666667,0,0.5,3,0,1,D,710,190,529,26678.87324,975
Y,778,65,0,1,V5Y2C5,0,0,7765.625833,0,12325.40333,,,38955.3825,0,0,3.25,0,0,1.166666667,0,0,4,0,0,C,670,320,1766,40631.34328,4797.297297
N,785,23,1,0,V6Y1L9,1,1,17.35,439.3433333,464.0308333,,,,0,0,3.416666667,0.25,0.416666667,0.25,0,0,2.6,1,1,D,1090,430,1689,23801.83486,2733.333333
Y,796,39,0,1,V5P1H4,1,1,4447.1875,559.1166667,10161.66417,,,,0,0,1.833333333,4.75,17.25,4.666666667,5,0,4,0,2,D,790,350,1336,23693.67089,2887.719298
Y,799,34,1,0,V6X1M1,1,0,187.5208333,,324.4708333,,,,0,0,0.25,0,0,0,0,0,2,0,0,E,1050,440,1877,25471.42857,2905.970149
N,812,22,0,1,V5W3H8,1,0,481.85,488.3191667,792.1425,6733.43,,,0,0,1.666666667,0.833333333,1.083333333,0,0.416666667,0,3.3,-1,-1,D,1090,410,1736,25647.70642,2226
N,816,55,0,1,V5S1A8,1,1,2824.264167,25.58,3017.406667,,0,,0,0,1,0.5,0.083333333,2.25,5.75,0,4,0,0,D,730,340,1339,24663.0137,4021.212121
N,817,42,0,1,V5Z1Y3,1,1,0,,54.46,,3726.4775,,0,0,2.166666667,2.916666667,24.83333333,0.75,3.666666667,0,3,0,0,D,480,230,1304,41135.41667,4885.294118
N,828,22,0,1,V5Y1Y8,0,0,3809.5325,0.01,3830.0075,,,,0,0,0.166666667,0,0,0,0,0,3,0,0,D,680,360,2011,42302.94118,3306.060606
